query_id	subject_id	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovs	significance	genome
632072	395942	64.916	3942	1244	40	6673	10562	877	4731	0.0	4642.0	21166	4739	93.0	HIGH (likely ortholog)	Gepoce1
632082	378746	86.346	1809	97	9	4071	5874	1400	3063	0.0	2983.0	7319	3088	79.0	MEDIUM (likely homolog)	Gepoce1
632088	365468	59.478	2184	771	28	12693	14832	43	2156	0.0	2162.0	20900	4176	64.0	MEDIUM (likely homolog)	Gepoce1
632099	365468	93.183	2758	117	6	42	2790	1	2696	0.0	4514.0	4283	4176	87.0	HIGH (likely ortholog)	Gepoce1
632232	365468	59.025	1662	616	23	2574	4215	540	2156	0.0	1632.0	4798	4176	86.0	HIGH (likely ortholog)	Gepoce1
631879	1400151	28.571	469	266	15	2907	3337	680	1117	3.06e-23	110.0	5875	2477	19.0	VERY LOW	IsochDm2_1
631889	1396073	40.08	2490	1292	66	920	3314	14001	16385	0.0	1232.0	4454	26464	67.0	LOW (possible homolog)	IsochDm2_1
631892	956866	41.966	3286	1699	77	3414	6623	5897	9050	0.0	1828.0	7020	12778	93.0	LOW (possible homolog)	IsochDm2_1
632047	956866	33.583	533	318	11	21	533	12243	12759	1.36e-62	239.0	2567	12778	37.0	LOW (possible homolog)	IsochDm2_1
632054	956866	56.384	2185	866	28	2222	4378	10635	12760	0.0	2082.0	4905	12778	77.0	MEDIUM (likely homolog)	IsochDm2_1
632068	1039888	53.725	11570	4915	186	46	11425	42	11362	0.0	10423.0	12937	12517	99.0	HIGH (likely ortholog)	IsochDm2_1
632072	1396073	60.486	19588	6946	236	133	19444	3384	22453	0.0	21000.0	21166	26464	96.0	HIGH (likely ortholog)	IsochDm2_1
632082	1457521	59.109	6642	2161	94	730	7316	327	6468	0.0	6618.0	7319	6470	93.0	HIGH (likely ortholog)	IsochDm2_1
632088	1396073	59.574	4042	1523	45	10846	14833	20070	24054	0.0	4258.0	20900	26464	69.0	MEDIUM (likely homolog)	IsochDm2_1
632099	1452216	49.042	4435	1720	91	59	4282	199	4304	0.0	3287.0	4283	4304	99.0	LOW (possible homolog)	IsochDm2_1
632232	1396073	56.534	1737	664	27	2498	4216	20786	22449	0.0	1704.0	4798	26464	85.0	HIGH (likely ortholog)	IsochDm2_1
631879	172598	25.911	988	534	36	452	1386	9	851	2.9100000000000002e-43	176.0	5875	3228	26.0	VERY LOW	Chrsp_1
631889	183074	45.714	455	216	7	2793	3247	52	475	1.52e-86	301.0	4454	760	31.0	LOW (possible homolog)	Chrsp_1
631892	183074	48.23	452	207	8	4986	5437	52	476	7.19e-93	321.0	7020	760	32.0	LOW (possible homolog)	Chrsp_1
632047	172598	28.796	955	567	28	112	998	9	918	5.9e-76	282.0	2567	3228	42.0	VERY LOW	Chrsp_1
632054	183074	47.193	481	234	8	1663	2142	18	479	7.349999999999999e-94	323.0	4905	760	34.0	LOW (possible homolog)	Chrsp_1
632068	171094	53.613	429	174	8	8682	9096	1	418	3.82e-122	394.0	12937	419	23.0	VERY LOW	Chrsp_1
632072	171094	47.17	424	210	5	18922	19337	1	418	1.16e-97	324.0	21166	419	26.0	VERY LOW	Chrsp_1
632082	171094	44.418	421	225	4	759	1173	1	418	6.49e-90	300.0	7319	419	23.0	VERY LOW	Chrsp_1
632088	180511	50.0	454	203	7	9520	9950	7	459	7.77e-133	431.0	20900	543	9.0	VERY LOW	Chrsp_1
632099	171094	44.286	420	221	5	1743	2151	1	418	5.91e-91	303.0	4283	419	22.0	VERY LOW	Chrsp_1
632232	171094	45.327	428	217	6	1502	1922	1	418	7.71e-88	294.0	4798	419	24.0	VERY LOW	Chrsp_1
631879	31025	72.987	559	99	3	443	992	155	670	0.0	858.0	5875	688	28.0	VERY LOW	Phaglo1
631889	20676	43.758	2363	1112	58	1040	3323	2	2226	0.0	1176.0	4454	4013	66.0	LOW (possible homolog)	Phaglo1
631892	20676	47.697	1824	803	38	4840	6623	5	1717	0.0	1056.0	7020	4013	90.0	LOW (possible homolog)	Phaglo1
632047	21665	35.172	580	292	17	21	559	400	936	9.09e-65	240.0	2567	959	27.0	VERY LOW	Phaglo1
632054	20676	48.888	2203	976	48	2220	4386	124	2212	0.0	1416.0	4905	4013	73.0	LOW (possible homolog)	Phaglo1
632068	20676	48.547	2546	1150	63	3902	6391	5	2446	0.0	1579.0	12937	4013	75.0	LOW (possible homolog)	Phaglo1
632072	20676	50.434	2647	1128	71	3309	5903	5	2519	0.0	1726.0	21166	4013	86.0	HIGH (likely ortholog)	Phaglo1
632082	20676	48.207	2649	1183	67	2228	4829	5	2511	0.0	1684.0	7319	4013	78.0	LOW (possible homolog)	Phaglo1
632088	20676	47.919	2619	1203	60	10974	13531	5	2523	0.0	1591.0	20900	4013	61.0	LOW (possible homolog)	Phaglo1
632099	20676	46.7	2197	1039	45	86	2249	125	2222	0.0	1371.0	4283	4013	72.0	LOW (possible homolog)	Phaglo1
632232	20676	42.423	1742	886	39	2498	4216	577	2224	0.0	914.0	4798	4013	73.0	LOW (possible homolog)	Phaglo1
631879	21574	54.545	3421	1310	55	1998	5346	1150	4397	0.0	3500.0	5875	6388	90.0	HIGH (likely ortholog)	Pparv12B1_1_1
631889	17869	37.413	2598	1382	67	776	3293	2149	4582	0.0	1139.0	4454	45212	73.0	LOW (possible homolog)	Pparv12B1_1_1
631892	11800	38.11	4382	2370	103	2370	6622	7823	11991	0.0	2155.0	7020	24439	93.0	LOW (possible homolog)	Pparv12B1_1_1
632047	15057	46.343	1627	791	28	13	1588	2247	3842	0.0	1226.0	2567	4525	78.0	LOW (possible homolog)	Pparv12B1_1_1
632054	8982	38.506	2784	1403	83	1698	4367	12605	15193	0.0	1345.0	4905	30685	78.0	LOW (possible homolog)	Pparv12B1_1_1
632068	11800	41.93	2466	1275	45	2164	4553	10089	12473	0.0	1504.0	12937	24439	90.0	LOW (possible homolog)	Pparv12B1_1_1
632072	11800	38.591	3804	2063	87	12545	16205	8803	12476	0.0	2204.0	21166	24439	96.0	LOW (possible homolog)	Pparv12B1_1_1
632082	17869	38.562	3060	1603	73	3709	6689	2262	5123	0.0	1571.0	7319	45212	84.0	LOW (possible homolog)	Pparv12B1_1_1
632088	17869	41.736	5978	3046	146	12413	18210	2245	7965	0.0	3279.0	20900	45212	72.0	LOW (possible homolog)	Pparv12B1_1_1
632099	17869	38.123	2770	1462	70	99	2808	2534	5111	0.0	1343.0	4283	45212	88.0	LOW (possible homolog)	Pparv12B1_1_1
632232	17869	39.811	1693	880	44	2561	4224	3034	4616	0.0	920.0	4798	45212	86.0	LOW (possible homolog)	Pparv12B1_1_1
631879	84947	28.358	469	267	15	2907	3337	1002	1439	9.859999999999999e-23	108.0	5875	2799	19.0	VERY LOW	Isogal1
631889	89135	38.384	2488	1354	64	920	3319	3929	6325	0.0	1170.0	4454	12469	67.0	LOW (possible homolog)	Isogal1
631892	89135	39.476	3283	1739	72	3414	6623	7142	10249	0.0	1510.0	7020	12469	93.0	LOW (possible homolog)	Isogal1
632047	82165	35.401	548	304	15	21	542	1616	2139	1.1800000000000001e-64	244.0	2567	3554	34.0	LOW (possible homolog)	Isogal1
632054	89135	50.809	2226	972	34	2222	4403	10218	12364	0.0	1799.0	4905	12469	86.0	HIGH (likely ortholog)	Isogal1
632068	89135	43.764	4538	2305	90	2180	6613	3924	8318	0.0	2890.0	12937	12469	80.0	LOW (possible homolog)	Isogal1
632072	89135	62.899	11385	3906	98	6666	17933	1286	12469	0.0	12963.0	21166	12469	93.0	HIGH (likely ortholog)	Isogal1
632082	89135	52.314	4062	1773	54	2100	6126	3925	7857	0.0	3605.0	7319	12469	90.0	HIGH (likely ortholog)	Isogal1
632088	89135	51.921	4216	1878	63	10705	14835	8219	12370	0.0	3531.0	20900	12469	68.0	MEDIUM (likely homolog)	Isogal1
632099	89134	60.603	1825	671	16	443	2248	1432	3227	0.0	2017.0	4283	4140	78.0	MEDIUM (likely homolog)	Isogal1
632232	82165	58.565	1658	631	23	2572	4214	535	2151	0.0	1683.0	4798	3554	81.0	HIGH (likely ortholog)	Isogal1
