query_id	subject_id	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovs	significance	genome
100944	23169.0	41.667	96.0	55.0	1.0	251.0	346.0	305.0	399.0	2.5e-13	70.9	392	435.0	52.0	MEDIUM (likely homolog)	Phaglo1
468588	23169.0	28.134	359.0	210.0	9.0	35.0	367.0	71.0	407.0	9.55e-27	110.0	398	435.0	84.0	LOW (possible homolog)	Phaglo1
457922	17760.0	27.575	301.0	172.0	10.0	72.0	332.0	66.0	360.0	1.03e-16	80.1	332	381.0	79.0	LOW (possible homolog)	Phaglo1
438862												570		0.0	NOT FOUND	Phaglo1
457951												371		0.0	NOT FOUND	Phaglo1
100944	4519.0	25.414	362.0	212.0	11.0	6.0	346.0	64.0	388.0	7.8e-16	78.6	392	426.0	87.0	LOW (possible homolog)	Pparv12B1_1_1
468588	4519.0	27.19	331.0	202.0	8.0	35.0	343.0	64.0	377.0	4.9599999999999995e-23	99.8	398	426.0	78.0	LOW (possible homolog)	Pparv12B1_1_1
457922	4519.0	24.444	315.0	164.0	10.0	79.0	332.0	64.0	365.0	8.27e-13	68.6	332	426.0	77.0	LOW (possible homolog)	Pparv12B1_1_1
438862												570		0.0	NOT FOUND	Pparv12B1_1_1
457951												371		0.0	NOT FOUND	Pparv12B1_1_1
100944	79858.0	45.833	384.0	179.0	3.0	1.0	384.0	25.0	379.0	5.35e-114	337.0	392	381.0	98.0	MEDIUM (likely homolog)	Isogal1
468588	79858.0	67.259	394.0	114.0	4.0	1.0	393.0	1.0	380.0	1.81e-178	501.0	398	381.0	99.0	HIGH (likely ortholog)	Isogal1
457922	79858.0	60.681	323.0	86.0	4.0	45.0	332.0	1.0	317.0	4.49e-134	385.0	332	381.0	87.0	HIGH (likely ortholog)	Isogal1
438862	81131.0	57.371	563.0	209.0	8.0	5.0	560.0	14.0	552.0	0.0	614.0	570	552.0	98.0	HIGH (likely ortholog)	Isogal1
457951	85461.0	36.29	372.0	211.0	8.0	9.0	363.0	13.0	375.0	3.4199999999999994e-54	182.0	371	386.0	96.0	MEDIUM (likely homolog)	Isogal1
